Name,Longitude,Latitude,World Bank region,Node Degree
Antigua and Barbuda,-61.8456,17.1175,Latin America & the Caribbean,
Belize,-88.7713,17.2534,Latin America & the Caribbean,83.0
St. Kitts and Nevis,-62.7309,17.mars,Latin America & the Caribbean,
Jamaica,-76.792,17.9927,Latin America & the Caribbean,133.0
Puerto Rico,-66,18.23,Other,
Mauritania,-15.9824,18.2367,Sub-Saharan Africa,95.0
Virgin Islands (U.S.),-64.8963,18.3358,Other,
British Virgin Islands,-64.623056,18.431389,Other,
Dominican Republic,-69.8908,18.479,Latin America & the Caribbean,
Haiti,-72.3288,18.5392,Latin America & the Caribbean,109.0
Lao PDR,102.177,18.5826,East Asia and Pacific,
Cayman Islands,-81.3857,19.3022,Other,
Mexico,-99.1276,19.427,Latin America & the Caribbean,341.0
Vietnam,105.825,21.0069,East Asia and Pacific,200.0
Turks and Caicos Islands,-71.141389,21.4602778,Other,
Myanmar,95.9562,21.914,East Asia and Pacific,150.0
"Macao SAR, China",113.55,22.1667,East Asia and Pacific,
"Hong Kong SAR, China",114.109,22.3964,East Asia and Pacific,
Cuba,-82.3667,23.1333,Other,236.0
Oman,58.5874,23.6105,Middle East and North Africa,77.0
Bangladesh,90.4113,23.7055,South Asia,149.0
United Arab Emirates,54.3705,24.4764,Middle East and North Africa,
Saudi Arabia,46.6977,24.6748,Middle East and North Africa,
"Bahamas, The",-77.339,25.0661,Latin America & the Caribbean,
Qatar,51.5082,25.2948,Middle East and North Africa,100.0
Bahrain,50.5354,26.1921,Middle East and North Africa,85.0
Bhutan,89.6177,27.5768,South Asia,94.0
Nepal,85.3157,27.6939,South Asia,110.0
India,77.225,28.6353,South Asia,692.0
Kuwait,47.9824,29.3721,Middle East and North Africa,98.0
"Egypt, Arab Rep.",31.2461,30.0982,Middle East and North Africa,
Pakistan,72.8,30.5167,South Asia,236.0
Israel,35.2035,31.7717,Other,405.0
Jordan,35.9263,31.9497,Middle East and North Africa,120.0
Bermuda,-64.706,32.3293,Other,80.0
Libya,13.1072,32.8578,Middle East and North Africa,163.0
Iraq,44.394,33.3302,Middle East and North Africa,210.0
Syrian Arab Republic,36.3119,33.5146,Middle East and North Africa,
Lebanon,35.5134,33.8872,Middle East and North Africa,306.0
Morocco,-6.8704,33.9905,Middle East and North Africa,210.0
Afghanistan,69.1761,34.5228,South Asia,209.0
Cyprus,33.3736,35.1676,Europe and Central Asia,165.0
Japan,139.77,35.67,Other,671.0
"Iran, Islamic Rep.",51.4447,35.6878,Middle East and North Africa,
Malta,14.5189,35.9042,Middle East and North Africa,132.0
Algeria,3.05097,36.7397,Middle East and North Africa,155.0
Tunisia,oct.21,36.7899,Middle East and North Africa,124.0
"Korea, Rep.",126.957,37.5323,East Asia and Pacific,
Turkmenistan,58.3794,37.9509,Europe and Central Asia,85.0
Greece,23.7166,37.9792,Other,360.0
Tajikistan,68.7864,38.5878,Europe and Central Asia,83.0
Portugal,-9.13552,38.7072,Other,376.0
United States,-77.032,38.8895,Other,
Turkey,32.3606,39.7153,Europe and Central Asia,421.0
China,116.286,40.0495,East Asia and Pacific,586.0
Armenia,44.509,40.1596,Europe and Central Asia,285.0
Azerbaijan,49.8932,40.3834,Europe and Central Asia,226.0
Spain,-3.70327,40.4167,Other,628.0
Uzbekistan,69.269,41.3052,Europe and Central Asia,102.0
Albania,19.8172,41.3317,Europe and Central Asia,224.0
Georgia,44.793,41.71,Europe and Central Asia,
Italy,dï¿½c.23,41.8955,Other,635.0
North Macedonia,21.4361,42.0024,Europe and Central Asia,
Montenegro,19.2595,42.4602,Europe and Central Asia,134.0
Andorra,janv.18,42.5075,Other,95.0
Kosovo,20.926,42.565,Europe and Central Asia,83.0
Bulgaria,23.3238,42.7105,Europe and Central Asia,255.0
Kyrgyz Republic,74.6057,42.8851,Europe and Central Asia,
Monaco,7.41891,43.7325,Other,78.0
Bosnia and Herzegovina,18.4214,43.8607,Europe and Central Asia,
San Marino,dï¿½c.86,43.9322,Other,
Romania,26.0979,44.4479,Europe and Central Asia,209.0
Serbia,20.4656,44.8024,Europe and Central Asia,214.0
Canada,-75.6919,45.4215,Other,634.0
Croatia,15.9614,45.8069,Europe and Central Asia,219.0
Slovenia,14.5044,46.0546,Europe and Central Asia,216.0
Switzerland,7.44821,46.948,Other,294.0
Moldova,28.8497,47.0167,Europe and Central Asia,84.0
